Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
122,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$4140000.00,1.2077294685990339%,19 años,"$ 8,813.76",10.80 %,Tasa fija anual,52.2 %,$ 517.04,Mensual
123,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$6120000.00,0.8169934640522877%,19 años,"$ 11,740.80",10.80 %,Tasa fija anual,95.9 %,$ 517.04,Mensual
124,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$8100000.00,0.6172839506172839%,19 años,"$ 2,959.84",10.80 %,Tasa fija anual,15.6 %,$ 517.04,Mensual
125,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$10080000.00,0.496031746031746%,19 años,"$ 17,594.72",10.80 %,Tasa fija anual,297.9 %,$ 517.04,Mensual
126,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$12060000.00,0.41459369817578773%,19 años,"$ 20,521.84",10.80 %,Tasa fija anual,744.7 %,$ 517.04,Mensual
127,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$14040000.00,0.3561253561253561%,19 años,"$ 23,448.72",10.80 %,Tasa fija anual,523.1 %,$ 517.04,Mensual
128,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$16020000.00,0.3121098626716604%,19 años,"$ 26,375.76",10.80 %,Tasa fija anual,798.4 %,$ 517.04,Mensual
129,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$18000000.00,0.2777777777777778%,19 años,"$ 29,302.96",10.80 %,Tasa fija anual,976.3 %,$ 517.04,Mensual
130,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$19980000.00,0.2502502502502503%,19 años,"$ 29,302.96",10.80 %,Tasa fija anual,976.3 %,$ 517.04,Mensual
131,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$180000.00,27.77777777777778%,18 años,"$ 2,995.40",10.80 %,Tasa fija anual,15.6 %,$ 525.93,Mensual
132,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$2160000.00,2.314814814814815%,18 años,"$ 5,922.36",10.80 %,Tasa fija anual,31.4 %,$ 525.93,Mensual
133,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$4140000.00,1.2077294685990339%,18 años,"$ 8,849.32",10.80 %,Tasa fija anual,53.4 %,$ 525.93,Mensual
134,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$6120000.00,0.8169934640522877%,18 años,"$ 11,776.36",10.80 %,Tasa fija anual,86.3 %,$ 525.93,Mensual
135,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$8100000.00,0.6172839506172839%,18 años,"$ 2,995.40",10.80 %,Tasa fija anual,15.6 %,$ 525.93,Mensual
136,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$10080000.00,0.496031746031746%,18 años,"$ 17,630.28",10.80 %,Tasa fija anual,291.4 %,$ 525.93,Mensual
137,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$12060000.00,0.41459369817578773%,18 años,"$ 20,557.40",10.80 %,Tasa fija anual,563.0 %,$ 525.93,Mensual
138,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$14040000.00,0.3561253561253561%,18 años,"$ 23,484.28",10.80 %,Tasa fija anual,971.9 %,$ 525.93,Mensual
139,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$16020000.00,0.3121098626716604%,18 años,"$ 26,411.32",10.80 %,Tasa fija anual,610.4 %,$ 525.93,Mensual
140,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$18000000.00,0.2777777777777778%,18 años,"$ 29,338.52",10.80 %,Tasa fija anual,960.9 %,$ 525.93,Mensual
141,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$19980000.00,0.2502502502502503%,18 años,"$ 29,338.52",10.80 %,Tasa fija anual,960.9 %,$ 525.93,Mensual
142,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$180000.00,27.77777777777778%,17 años,"$ 3,036.48",10.80 %,Tasa fija anual,15.7 %,$ 536.21,Mensual
143,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$2160000.00,2.314814814814815%,17 años,"$ 5,963.44",10.80 %,Tasa fija anual,31.7 %,$ 536.21,Mensual
144,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$4140000.00,1.2077294685990339%,17 años,"$ 8,890.40",10.80 %,Tasa fija anual,53.7 %,$ 536.21,Mensual
145,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$6120000.00,0.8169934640522877%,17 años,"$ 3,036.48",10.80 %,Tasa fija anual,15.7 %,$ 536.21,Mensual
146,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$8100000.00,0.6172839506172839%,17 años,"$ 14,744.48",10.80 %,Tasa fija anual,244.7 %,$ 536.21,Mensual
147,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$10080000.00,0.496031746031746%,17 años,"$ 17,671.36",10.80 %,Tasa fija anual,268.5 %,$ 536.21,Mensual
148,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$12060000.00,0.41459369817578773%,17 años,"$ 20,598.48",10.80 %,Tasa fija anual,601.1 %,$ 536.21,Mensual
149,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$14040000.00,0.3561253561253561%,17 años,"$ 23,525.36",10.80 %,Tasa fija anual,314.2 %,$ 536.21,Mensual
150,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$16020000.00,0.3121098626716604%,17 años,"$ 26,452.40",10.80 %,Tasa fija anual,566.0 %,$ 536.21,Mensual
