Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
123,Compra tu Casa,5500000,95.0,240,"$ 113,487.00",11.60%,Pagos Oportunos,13.4%,"$ 56,743.50",Mensual
124,Compra tu Casa,6000000,95.0,240,"$ 123,804.00",11.60%,Pagos Oportunos,13.4%,"$ 61,902.00",Mensual
125,Compra tu Casa,6500000,95.0,240,"$ 134,121.00",11.60%,Pagos Oportunos,13.4%,"$ 67,060.50",Mensual
126,Compra tu Casa,7000000,95.0,240,"$ 144,438.00",11.60%,Pagos Oportunos,13.4%,"$ 72,219.00",Mensual
127,Compra tu Casa,7500000,95.0,240,"$ 154,755.00",11.60%,Pagos Oportunos,13.4%,"$ 77,377.50",Mensual
128,Compra tu Casa,8000000,95.0,240,"$ 165,072.00",11.60%,Pagos Oportunos,13.4%,"$ 82,536.00",Mensual
129,Compra tu Casa,8500000,95.0,240,"$ 175,389.00",11.60%,Pagos Oportunos,13.4%,"$ 87,694.50",Mensual
130,Compra tu Casa,9000000,95.0,240,"$ 185,706.00",11.60%,Pagos Oportunos,13.4%,"$ 92,853.00",Mensual
131,Compra tu Casa,9500000,95.0,240,"$ 196,023.00",11.60%,Pagos Oportunos,13.4%,"$ 98,011.50",Mensual
132,Compra tu Casa,10000000,95.0,240,"$ 206,340.00",11.60%,Pagos Oportunos,13.4%,"$ 103,170.00",Mensual
133,Compra tu Casa,400000,95.0,120,"$ 10,000.00",11.25%,Valora,13.5%,"$ 4,921.00",Mensual
134,Compra tu Casa,500000,95.0,120,"$ 12,302.50",11.25%,Valora,13.5%,"$ 6,151.25",Mensual
135,Compra tu Casa,600000,95.0,120,"$ 14,763.00",11.25%,Valora,13.5%,"$ 7,381.50",Mensual
136,Compra tu Casa,700000,95.0,120,"$ 17,223.50",11.25%,Valora,13.5%,"$ 8,611.75",Mensual
137,Compra tu Casa,800000,95.0,120,"$ 19,684.00",11.25%,Valora,13.5%,"$ 9,842.00",Mensual
138,Compra tu Casa,900000,95.0,120,"$ 22,144.50",11.25%,Valora,13.5%,"$ 11,072.25",Mensual
139,Compra tu Casa,1000000,95.0,120,"$ 24,605.00",11.25%,Valora,13.5%,"$ 12,302.50",Mensual
140,Compra tu Casa,1100000,95.0,120,"$ 27,065.50",11.25%,Valora,13.5%,"$ 13,532.75",Mensual
141,Compra tu Casa,1200000,95.0,120,"$ 29,526.00",11.25%,Valora,13.5%,"$ 14,763.00",Mensual
142,Compra tu Casa,1300000,95.0,120,"$ 31,986.50",11.25%,Valora,13.5%,"$ 15,993.25",Mensual
143,Compra tu Casa,1400000,95.0,120,"$ 34,447.00",11.25%,Valora,13.5%,"$ 17,223.50",Mensual
144,Compra tu Casa,1500000,95.0,120,"$ 36,907.50",11.25%,Valora,13.5%,"$ 18,453.75",Mensual
